GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Space Invaders,spaceinvaders.input,InputHandler.new KeyAdapter() {...},0,11,0,0,0,3,0,2,0,2
Space Invaders,spaceinvaders.input,InputHandler,0,63,3,5,0,24,3,8,0,6
Space Invaders,spaceinvaders,SpaceInvadersApp,10,0,0,0,4,0,2,0,2,0
Space Invaders,spaceinvaders.ui,GamePanel,48,0,0,0,14,0,2,0,2,0
Space Invaders,spaceinvaders.ui,Renderer,245,0,16,0,56,0,19,0,11,0
Space Invaders,spaceinvaders.ui,GameFrame,42,0,0,0,11,0,2,0,2,0
Space Invaders,spaceinvaders.utils.functions,CollisionUtils,83,0,24,0,4,0,16,0,4,0
Space Invaders,spaceinvaders.game,GameTimer,65,0,2,0,19,0,6,0,5,0
Space Invaders,spaceinvaders.game,GameEngine,372,0,60,0,104,0,42,0,12,0
Space Invaders,spaceinvaders.game,Boss,94,0,10,0,24,0,10,0,5,0
Space Invaders,spaceinvaders.game,Enemy,19,0,2,0,6,0,2,0,1,0
Space Invaders,spaceinvaders.game,GameState,75,51,6,0,14,21,5,2,2,2
Space Invaders,spaceinvaders.config,GameConfig,15,43,1,1,4,13,2,6,1,6
